Voltage,Current
0.0,0.9402183869311311
0.10204081632653061,0.8085124836282676
0.20408163265306123,1.0575665832019054
0.30612244897959184,1.3561522774788448
0.40816326530612246,0.9979952456659866
0.5102040816326531,1.7279673957428505
0.6122448979591837,1.0743783162423561
0.7142857142857143,1.203486470815569
0.8163265306122449,1.3211618064486257
0.9183673469387755,1.732592009483989
1.0204081632653061,1.9559796931096498
1.1224489795918369,1.4789730090267055
1.2244897959183674,1.6927406911988898
1.3265306122448979,1.978035896232509
1.4285714285714286,2.0944033905774435
1.5306122448979593,2.052653833881319
1.6326530612244898,2.1167563567883096
1.7346938775510203,2.1745772746502805
1.836734693877551,2.593402542405401
1.9387755102040818,2.7629831986428584
2.0408163265306123,2.659712135002016
2.142857142857143,2.8252355724412275
2.2448979591836737,3.0430512816568784
2.3469387755102042,3.535691522797872
2.4489795918367347,3.371571422695754
2.5510204081632653,3.921818083716383
2.6530612244897958,3.4860421042929897
2.7551020408163267,3.6064964553189816
2.857142857142857,4.32330649623904
2.9591836734693877,4.1546337927239145
3.0612244897959187,4.853955256119003
3.163265306122449,4.836384974990088
3.2653061224489797,5.383764114319225
3.36734693877551,5.322606355236358
3.4693877551020407,5.811868997463738
3.5714285714285716,5.886869709938376
3.673469387755102,5.937418752937039
3.7755102040816326,6.381160798067208
3.8775510204081636,6.795647057871204
3.979591836734694,7.0183750334941575
4.081632653061225,7.7091236476615395
4.183673469387755,8.360639130401198
4.285714285714286,8.48095318797616
4.387755102040816,9.30338331688867
4.4897959183673475,9.185926871123776
4.591836734693878,10.173455626430368
4.6938775510204085,10.552327610852736
4.795918367346939,11.043258303828853
4.8979591836734695,11.817595629592839
5.0,12.200546896644251
